t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.3,30.0,103
-4.068,pre,27.4,30.0,108
-4.047,pre,27.7,30.0,117
-4.027,pre,27.4,30.0,107
-4.006,pre,28.0,30.0,123
-3.986,pre,28.6,30.0,139
-3.965,pre,27.3,30.0,84
-3.945,pre,27.6,30.0,113
-3.924,pre,27.8,30.0,111
-3.904,pre,27.3,30.0,99
-3.883,pre,27.4,30.0,109
-3.863,pre,27.5,30.0,110
-3.842,pre,27.5,30.0,110
-3.822,pre,27.4,30.0,105
-3.801,pre,27.6,30.0,114
-3.781,pre,27.3,30.0,104
-3.760,pre,27.6,30.0,109
-3.740,pre,27.6,30.0,113
-3.719,pre,27.2,30.0,96
-3.698,pre,27.8,30.0,119
-3.679,pre,27.6,30.0,112
-3.658,pre,27.3,30.0,97
-3.637,pre,28.0,30.0,124
-3.617,pre,27.8,30.0,115
-3.597,pre,28.1,30.0,121
-3.576,pre,28.3,30.0,131
-3.556,pre,27.0,30.0,83
-3.535,pre,27.9,30.0,120
-3.515,pre,27.0,30.0,93
-3.494,pre,27.4,30.0,109
-3.474,pre,27.5,30.0,111
-3.453,pre,27.4,30.0,105
-3.432,pre,27.6,30.0,115
-3.412,pre,27.4,30.0,105
-3.391,pre,27.7,30.0,116
-3.371,pre,27.3,30.0,102
-3.350,pre,27.8,30.0,117
-3.330,pre,27.3,30.0,102
-3.309,pre,27.5,30.0,109
-3.289,pre,27.6,30.0,110
-3.268,pre,27.5,30.0,107
-3.247,pre,27.4,30.0,107
-3.227,pre,27.6,30.0,109
-3.207,pre,27.9,30.0,117
-3.186,pre,27.8,30.0,116
-3.166,pre,27.3,30.0,97
-3.145,pre,27.8,30.0,113
-3.125,pre,27.4,30.0,108
-3.105,pre,27.4,30.0,105
-3.085,pre,27.2,30.0,95
-3.064,pre,27.8,30.0,121
-3.043,pre,27.5,30.0,112
-3.022,pre,27.8,30.0,117
-3.002,pre,27.7,30.0,115
-2.981,pre,27.5,30.0,108
-2.961,pre,27.6,30.0,110
-2.941,pre,27.6,30.0,111
-2.920,pre,27.4,30.0,101
-2.900,pre,28.5,30.0,139
-2.879,pre,27.0,30.0,85
-2.859,pre,27.7,30.0,120
-2.838,pre,27.6,30.0,112
-2.818,pre,27.9,30.0,119
-2.797,pre,27.7,30.0,115
-2.776,pre,27.8,30.0,115
-2.756,pre,27.2,30.0,92
-2.736,pre,27.5,30.0,105
-2.715,pre,27.5,30.0,110
-2.695,pre,27.3,30.0,100
-2.675,pre,27.1,30.0,99
-2.654,pre,27.3,30.0,106
-2.633,pre,27.5,30.0,111
-2.612,pre,27.2,30.0,103
-2.592,pre,27.5,30.0,110
-2.572,pre,28.2,30.0,128
-2.552,pre,27.4,30.0,105
-2.531,pre,27.7,30.0,111
-2.511,pre,27.6,30.0,109
-2.491,pre,27.3,30.0,102
-2.470,pre,27.2,30.0,105
-2.450,pre,27.6,30.0,112
-2.429,pre,28.0,30.0,123
-2.405,pre,27.5,30.0,107
-2.385,pre,27.9,30.0,115
-2.364,pre,27.7,30.0,106
-2.343,pre,28.1,30.0,128
-2.323,pre,27.1,30.0,91
-2.303,pre,27.1,30.0,92
-2.282,pre,27.3,30.0,107
-2.261,pre,27.0,30.0,98
-2.241,pre,27.7,30.0,119
-2.220,pre,27.2,30.0,102
-2.200,pre,27.1,30.0,96
-2.180,pre,27.6,30.0,115
-2.159,pre,27.2,30.0,102
-2.139,pre,27.5,30.0,111
-2.118,pre,27.8,30.0,116
-2.098,pre,27.6,30.0,108
-2.077,pre,28.0,30.0,120
-2.057,pre,27.8,30.0,103
-2.036,pre,27.9,30.0,114
-2.016,pre,27.6,30.0,111
-1.995,pre,28.0,30.0,122
