t_s,gap_mm,hall_mV,adc16
0.023,384,2481,32226
0.056,386,2481,32224
0.084,393,2481,32225
0.117,374,2481,32222
0.150,386,2481,32218
0.179,384,2481,32221
0.211,372,2481,32222
0.240,378,2481,32222
0.273,367,2481,32225
0.302,391,2481,32220
0.334,380,2481,32225
0.363,367,2481,32224
0.396,401,2481,32217
0.425,379,2481,32222
0.457,390,2481,32225
0.489,346,2481,32224
0.519,371,2481,32221
0.551,390,2481,32225
0.580,392,2480,32215
0.613,373,2481,32223
0.642,382,2481,32228
0.674,402,2481,32222
0.703,389,2481,32222
0.736,389,2481,32224
0.764,371,2481,32224
0.797,384,2481,32221
0.829,378,2481,32227
0.859,377,2481,32219
0.891,374,2481,32222
0.920,367,2480,32215
0.953,400,2480,32213
0.982,381,2481,32222
1.014,379,2481,32228
1.043,373,2481,32226
1.075,371,2481,32227
1.104,374,2481,32221
1.137,380,2480,32214
1.169,361,2481,32219
1.198,358,2481,32224
1.231,388,2481,32221
1.260,360,2481,32222
1.292,373,2482,32230
1.321,389,2481,32224
1.354,384,2481,32222
1.383,378,2481,32223
1.416,382,2481,32222
1.444,394,2481,32219
1.477,398,2481,32227
1.506,410,2481,32223
1.539,421,2481,32221
1.571,401,2481,32218
1.600,387,2482,32229
1.632,424,2481,32221
1.661,403,2481,32228
1.694,420,2482,32232
1.723,412,2481,32226
1.755,414,2481,32228
1.785,394,2481,32226
1.817,396,2482,32231
1.846,402,2481,32219
1.879,386,2481,32226
1.911,391,2482,32231
1.941,400,2482,32231
1.972,394,2481,32222
2.001,399,2482,32230
2.034,400,2481,32224
2.062,412,2481,32226
2.095,416,2481,32228
2.124,401,2482,32230
2.157,400,2481,32224
2.185,390,2482,32230
2.218,378,2481,32223
2.251,396,2481,32224
2.280,382,2481,32221
2.312,393,2481,32219
2.341,386,2481,32225
2.374,388,2481,32224
2.402,391,2482,32231
2.435,388,2481,32225
2.464,409,2481,32221
2.497,414,2481,32224
2.525,394,2481,32224
2.558,393,2482,32230
2.587,386,2481,32221
2.620,391,2481,32224
2.652,395,2481,32225
2.681,372,2481,32223
2.713,399,2481,32227
2.742,401,2481,32219
2.775,384,2481,32224
2.804,395,2481,32222
2.837,373,2481,32223
2.865,393,2481,32225
2.898,395,2481,32227
2.927,399,2481,32227
2.960,405,2481,32224
2.992,394,2481,32218
3.021,417,2482,32229
3.053,402,2481,32223
3.082,410,2481,32225
3.115,388,2481,32222
3.144,396,2481,32218
3.177,411,2481,32227
3.205,412,2481,32224
3.238,390,2481,32225
3.267,383,2481,32226
3.299,400,2481,32224
3.332,395,2481,32223
3.361,407,2481,32226
3.393,400,2481,32220
3.422,407,2481,32218
3.455,393,2481,32222
3.484,409,2481,32222
3.516,394,2481,32225
3.545,382,2481,32226
3.578,385,2481,32222
3.607,391,2481,32223
3.639,375,2481,32222
3.672,397,2480,32214
3.701,394,2481,32221
3.733,405,2481,32223
3.762,399,2481,32222
3.795,377,2481,32227
3.824,391,2481,32220
3.856,372,2482,32229
3.885,402,2481,32219
3.918,389,2481,32219
3.947,395,2481,32219
3.979,400,2481,32224
4.012,397,2480,32215
4.041,368,2480,32215
4.073,358,2481,32219
4.102,350,2479,32200
4.135,344,2479,32202
4.164,328,2479,32197
4.196,318,2478,32184
4.225,319,2477,32175
4.258,325,2477,32166
4.287,332,2477,32168
4.319,327,2476,32161
4.348,336,2476,32162
4.381,339,2476,32154
4.409,345,2476,32159
4.442,346,2475,32147
4.475,347,2474,32128
4.504,354,2472,32102
4.536,356,2471,32098
4.565,353,2470,32085
4.598,355,2470,32084
4.626,361,2471,32086
4.659,359,2470,32076
4.688,356,2469,32070
4.721,354,2468,32052
4.749,355,2467,32041
4.782,361,2467,32034
4.811,361,2465,32012
4.844,360,2462,31975
4.876,368,2461,31968
4.906,364,2462,31969
4.938,365,2462,31975
4.967,364,2462,31981
4.999,372,2462,31980
5.029,365,2462,31971
5.061,366,2461,31965
5.090,368,2461,31967
5.122,364,2462,31970
5.151,362,2463,31990
5.184,366,2467,32043
5.213,369,2466,32024
5.245,366,2462,31971
5.278,369,2459,31933
5.307,370,2453,31857
5.340,372,2452,31842
5.368,376,2452,31842
5.401,375,2451,31836
5.430,369,2448,31794
5.463,368,2448,31788
5.491,377,2451,31836
5.523,371,2452,31850
5.552,370,2452,31850
5.585,373,2451,31836
5.614,373,2447,31785
5.646,376,2446,31770
5.675,369,2447,31775
5.708,379,2447,31777
5.741,376,2446,31774
5.770,376,2443,31731
5.802,376,2438,31658
5.832,385,2436,31642
5.864,382,2434,31616
5.893,380,2434,31609
5.925,389,2432,31590
5.954,379,2433,31595
5.987,384,2436,31642
6.016,378,2438,31662
6.048,376,2442,31710
6.078,378,2443,31726
6.110,379,2445,31756
6.142,377,2446,31770
6.171,379,2446,31771
6.203,371,2446,31773
6.232,381,2446,31774
6.265,378,2447,31775
6.294,372,2446,31772
6.326,373,2447,31775
6.355,379,2447,31782
6.388,383,2446,31771
6.417,382,2446,31773
6.450,382,2446,31773
6.478,369,2446,31772
6.511,372,2446,31770
6.544,382,2447,31774
6.573,378,2447,31782
6.605,379,2449,31806
6.634,373,2451,31833
6.666,376,2452,31842
6.696,377,2453,31854
6.728,374,2453,31858
6.757,381,2453,31853
6.790,379,2450,31820
6.818,374,2447,31774
6.851,376,2445,31761
6.880,374,2443,31728
6.913,374,2443,31732
6.941,379,2446,31770
6.974,380,2447,31776
7.006,380,2447,31776
7.036,373,2447,31785
7.067,382,2451,31827
7.097,374,2451,31834
7.130,374,2452,31841
7.158,378,2452,31839
7.191,372,2452,31847
7.220,366,2458,31922
7.252,371,2461,31964
7.281,372,2461,31956
7.314,376,2457,31907
7.343,386,2454,31871
7.375,372,2456,31894
7.408,379,2456,31898
7.437,372,2454,31877
7.469,384,2452,31839
7.498,378,2448,31798
7.531,374,2448,31792
7.560,376,2451,31826
7.593,374,2451,31838
7.621,373,2448,31800
7.655,373,2446,31773
7.683,371,2443,31729
7.715,370,2441,31700
7.744,376,2438,31663
7.776,368,2437,31649
7.805,373,2434,31616
7.838,381,2429,31546
7.870,372,2427,31516
7.899,379,2422,31453
7.932,371,2413,31340
7.961,375,2407,31264
7.994,381,2403,31204
8.022,374,2402,31199
8.055,386,2411,31318
8.084,378,2428,31530
8.117,380,2439,31676
8.146,371,2445,31759
8.178,385,2447,31776
8.207,378,2448,31793
8.239,381,2451,31839
8.272,374,2454,31868
8.301,370,2456,31901
8.333,373,2455,31886
8.363,369,2451,31834
8.395,371,2447,31779
8.424,370,2445,31757
8.456,368,2439,31681
8.485,379,2433,31605
8.518,379,2427,31519
8.547,374,2423,31469
8.580,382,2425,31500
8.609,374,2429,31553
8.641,380,2444,31747
8.673,369,2451,31839
8.702,369,2460,31948
8.734,368,2462,31976
8.763,371,2467,32039
8.796,372,2468,32054
8.825,362,2470,32074
8.858,360,2471,32092
8.887,359,2469,32062
8.919,364,2466,32026
8.948,369,2465,32019
8.981,365,2465,32010
9.010,358,2466,32025
9.043,373,2465,32008
9.075,369,2466,32028
9.104,375,2457,31915
