t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.2,30.0,106
-4.071,pre,27.4,30.0,109
-4.051,pre,27.4,30.0,108
-4.030,pre,27.5,30.0,109
-4.010,pre,27.6,30.0,114
-3.989,pre,27.3,30.0,105
-3.969,pre,27.2,30.0,103
-3.949,pre,27.3,30.0,108
-3.928,pre,27.6,30.0,113
-3.907,pre,27.4,30.0,109
-3.887,pre,27.3,30.0,106
-3.867,pre,27.4,30.0,108
-3.846,pre,27.3,30.0,106
-3.826,pre,27.3,30.0,106
-3.805,pre,27.6,30.0,114
-3.785,pre,27.4,30.0,109
-3.761,pre,27.6,30.0,112
-3.740,pre,27.5,30.0,109
-3.719,pre,27.5,30.0,111
-3.699,pre,27.4,30.0,110
-3.678,pre,26.9,30.0,98
-3.658,pre,27.1,30.0,104
-3.638,pre,27.2,30.0,108
-3.617,pre,27.3,30.0,110
-3.596,pre,27.3,30.0,107
-3.576,pre,27.6,30.0,114
-3.555,pre,27.6,30.0,113
-3.535,pre,27.8,30.0,118
-3.515,pre,27.5,30.0,109
-3.494,pre,27.5,30.0,107
-3.474,pre,27.5,30.0,111
-3.453,pre,27.3,30.0,106
-3.433,pre,27.2,30.0,104
-3.412,pre,27.4,30.0,110
-3.392,pre,27.2,30.0,105
-3.371,pre,27.2,30.0,105
-3.351,pre,27.4,30.0,111
-3.330,pre,27.3,30.0,109
-3.310,pre,27.4,30.0,108
-3.289,pre,27.5,30.0,112
-3.269,pre,27.6,30.0,115
-3.248,pre,27.2,30.0,100
-3.228,pre,27.4,30.0,106
-3.207,pre,27.3,30.0,106
-3.187,pre,27.2,30.0,105
-3.166,pre,27.2,30.0,105
-3.146,pre,27.3,30.0,109
-3.125,pre,27.6,30.0,115
-3.105,pre,27.4,30.0,107
-3.084,pre,27.3,30.0,106
-3.064,pre,27.5,30.0,111
-3.043,pre,27.4,30.0,108
-3.023,pre,27.5,30.0,111
-3.002,pre,27.4,30.0,107
-2.982,pre,27.3,30.0,106
-2.961,pre,27.2,30.0,105
-2.941,pre,27.1,30.0,103
-2.920,pre,27.1,30.0,104
-2.900,pre,27.2,30.0,107
-2.879,pre,27.5,30.0,112
-2.859,pre,27.5,30.0,112
-2.838,pre,27.8,30.0,117
-2.818,pre,27.9,30.0,119
-2.797,pre,27.6,30.0,112
-2.777,pre,27.4,30.0,107
-2.756,pre,27.5,30.0,111
-2.736,pre,27.4,30.0,108
-2.716,pre,27.3,30.0,107
-2.695,pre,26.9,30.0,96
-2.675,pre,27.1,30.0,104
-2.654,pre,27.0,30.0,102
-2.634,pre,26.9,30.0,100
-2.613,pre,27.3,30.0,108
-2.593,pre,27.5,30.0,114
-2.572,pre,27.4,30.0,109
-2.552,pre,27.9,30.0,119
-2.531,pre,27.6,30.0,109
-2.511,pre,27.8,30.0,117
-2.490,pre,27.7,30.0,114
-2.470,pre,27.5,30.0,108
-2.449,pre,27.2,30.0,102
-2.429,pre,27.2,30.0,104
-2.408,pre,26.9,30.0,99
-2.388,pre,27.0,30.0,103
-2.367,pre,27.3,30.0,109
-2.347,pre,27.4,30.0,110
-2.326,pre,27.5,30.0,112
-2.305,pre,27.4,30.0,108
-2.285,pre,27.7,30.0,114
