t_s,phase,gap_mm,ref_mm,pwm
-4.091,pre,27.3,30.0,101
-4.071,pre,27.5,30.0,109
-4.050,pre,27.5,30.0,109
-4.030,pre,27.7,30.0,116
-4.009,pre,27.0,30.0,88
-3.989,pre,27.9,30.0,125
-3.968,pre,27.1,30.0,94
-3.948,pre,27.4,30.0,106
-3.927,pre,27.8,30.0,122
-3.907,pre,27.0,30.0,88
-3.886,pre,27.9,30.0,122
-3.866,pre,27.2,30.0,102
-3.845,pre,27.5,30.0,106
-3.824,pre,27.9,30.0,121
-3.804,pre,27.3,30.0,99
-3.784,pre,28.6,30.0,142
-3.763,pre,27.4,30.0,103
-3.743,pre,27.4,30.0,101
-3.723,pre,27.4,30.0,104
-3.702,pre,27.5,30.0,109
-3.682,pre,27.4,30.0,107
-3.661,pre,27.4,30.0,106
-3.641,pre,27.9,30.0,121
-3.620,pre,27.6,30.0,111
-3.600,pre,27.8,30.0,117
-3.579,pre,27.7,30.0,115
-3.559,pre,27.5,30.0,106
-3.538,pre,27.8,30.0,117
-3.517,pre,27.4,30.0,104
-3.497,pre,27.9,30.0,120
-3.476,pre,27.5,30.0,107
-3.456,pre,27.8,30.0,115
-3.432,pre,27.3,30.0,100
-3.412,pre,27.4,30.0,102
-3.391,pre,27.8,30.0,118
-3.371,pre,27.5,30.0,107
-3.350,pre,27.5,30.0,109
-3.330,pre,27.3,30.0,104
-3.309,pre,27.3,30.0,105
-3.289,pre,27.5,30.0,112
-3.268,pre,27.5,30.0,110
-3.247,pre,28.1,30.0,128
-3.227,pre,27.7,30.0,111
-3.206,pre,27.9,30.0,118
-3.186,pre,27.7,30.0,108
-3.166,pre,27.7,30.0,112
-3.145,pre,27.2,30.0,97
-3.124,pre,27.7,30.0,116
-3.104,pre,27.1,30.0,97
-3.084,pre,27.9,30.0,124
-3.063,pre,27.6,30.0,112
-3.043,pre,27.6,30.0,109
-3.022,pre,27.6,30.0,111
-3.002,pre,27.5,30.0,107
-2.981,pre,27.3,30.0,102
